Cook County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.90,0.12
189502,0.66,-0.80
189503,0.79,-1.77
189504,1.81,-1.57
189505,2.52,-1.21
189506,1.46,-2.51
189507,3.60,0.11
189508,3.74,0.27
189509,1.63,-1.79
189510,0.84,-1.86
189511,3.68,1.24
189512,5.66,3.62
189601,1.02,-0.76
189602,2.08,0.62
189603,1.77,-0.79
189604,3.64,0.26
189605,4.99,1.26
189606,3.07,-0.90
189607,5.11,1.62
189608,2.93,-0.54
189609,7.49,4.07
189610,0.66,-2.04
189611,2.57,0.13
189612,0.45,-1.59
189701,5.82,4.04
189702,1.78,0.32
189703,3.98,1.42
189704,2.95,-0.43
189705,1.33,-2.40
189706,4.14,0.17
189707,2.54,-0.95
189708,1.32,-2.15
189709,0.79,-2.63
189710,0.51,-2.19
189711,3.34,0.90
189712,1.37,-0.67
189801,3.70,1.92
189802,2.30,0.84
189803,5.43,2.87
189804,1.34,-2.04
189805,3.84,0.11
189806,6.01,2.04
189807,1.68,-1.81
189808,4.89,1.42
189809,3.79,0.37
189810,4.89,2.19
189811,2.33,-0.11
189812,1.51,-0.53
189901,0.71,-1.07
189902,1.47,0.01
189903,2.20,-0.36
189904,0.48,-2.90
189905,5.62,1.89
189906,2.03,-1.94
189907,5.15,1.66
189908,1.65,-1.82
189909,2.22,-1.20
189910,2.33,-0.37
189911,1.24,-1.20
189912,1.75,-0.29
190001,1.48,-0.30
190002,3.44,1.98
190003,1.86,-0.70
190004,0.98,-2.40
190005,3.24,-0.49
190006,2.48,-1.49
190007,4.43,0.94
190008,5.38,1.91
190009,1.99,-1.43
190010,2.25,-0.45
190011,3.13,0.69
190012,0.50,-1.54
190101,1.75,-0.03
190102,1.58,0.12
190103,3.67,1.11
190104,0.53,-2.85
190105,1.12,-2.61
190106,2.35,-1.62
190107,4.09,0.60
190108,1.74,-1.73
190109,2.17,-1.25
190110,1.28,-1.42
190111,1.21,-1.23
190112,1.72,-0.32
190201,0.58,-1.20
190202,1.54,0.08
190203,3.43,0.87
190204,2.11,-1.27
190205,6.99,3.26
190206,9.66,5.69
190207,7.74,4.25
190208,2.50,-0.97
190209,5.81,2.39
190210,2.44,-0.26
190211,2.90,0.46
190212,1.87,-0.17
190301,0.99,-0.79
190302,2.06,0.60
190303,2.70,0.14
190304,3.82,0.44
190305,2.84,-0.89
190306,2.34,-1.63
190307,5.61,2.12
190308,5.39,1.92
190309,5.32,1.90
190310,1.91,-0.79
190311,0.86,-1.58
190312,1.89,-0.15
190401,2.14,0.36
190402,1.47,0.01
190403,4.73,2.17
190404,3.54,0.16
190405,2.95,-0.78
190406,1.41,-2.56
190407,3.31,-0.18
190408,3.82,0.35
190409,4.35,0.93
190410,1.38,-1.32
190411,0.22,-2.22
190412,1.60,-0.44
190501,1.14,-0.64
190502,1.46,0.00
190503,2.32,-0.24
190504,3.72,0.34
190505,5.85,2.12
190506,4.91,0.94
190507,4.00,0.51
190508,4.45,0.98
190509,2.80,-0.62
190510,3.09,0.39
190511,2.32,-0.12
190512,1.46,-0.58
190601,2.95,1.17
190602,2.23,0.77
190603,1.94,-0.62
190604,1.69,-1.69
190605,2.47,-1.26
190606,1.95,-2.02
190607,2.22,-1.27
190608,4.23,0.76
190609,5.78,2.36
190610,2.49,-0.21
190611,2.94,0.50
190612,2.31,0.27
190701,5.03,3.25
190702,0.42,-1.04
190703,2.62,0.06
190704,2.25,-1.13
190705,4.13,0.40
190706,2.96,-1.01
190707,5.32,1.83
190708,4.99,1.52
190709,5.52,2.10
190710,0.99,-1.71
190711,1.75,-0.69
190712,2.12,0.08
190801,1.14,-0.64
190802,2.90,1.44
190803,3.72,1.16
190804,3.56,0.18
190805,6.71,2.98
190806,1.85,-2.12
190807,3.94,0.45
190808,3.70,0.23
190809,1.05,-2.37
190810,0.88,-1.82
190811,2.44,0.00
190812,1.17,-0.87
190901,1.76,-0.02
190902,2.78,1.32
190903,1.29,-1.27
190904,7.47,4.09
190905,2.72,-1.01
190906,3.52,-0.45
190907,1.34,-2.15
190908,3.97,0.50
190909,3.11,-0.31
190910,1.86,-0.84
190911,4.22,1.78
190912,3.66,1.62
191001,2.46,0.68
191002,0.86,-0.60
191003,0.27,-2.29
191004,3.41,0.03
191005,5.24,1.51
191006,0.67,-3.30
191007,2.11,-1.38
191008,3.85,0.38
191009,3.26,-0.16
191010,2.07,-0.63
191011,1.16,-1.28
191012,1.23,-0.81
191101,1.41,-0.37
191102,2.11,0.65
191103,1.09,-1.47
191104,3.96,0.58
191105,3.06,-0.67
191106,3.46,-0.51
191107,1.76,-1.73
191108,4.46,0.99
191109,6.74,3.32
191110,4.34,1.64
191111,2.92,0.48
191112,2.03,-0.01
191201,0.60,-1.18
191202,1.25,-0.21
191203,1.62,-0.94
191204,2.68,-0.70
191205,4.26,0.53
191206,2.37,-1.60
191207,3.70,0.21
191208,2.54,-0.93
191209,3.11,-0.31
191210,4.77,2.07
191211,1.75,-0.69
191212,1.14,-0.90
191301,1.75,-0.03
191302,2.02,0.56
191303,3.43,0.87
191304,2.37,-1.01
191305,5.73,2.00
191306,1.44,-2.53
191307,4.25,0.76
191308,2.93,-0.54
191309,1.65,-1.77
191310,3.23,0.53
191311,1.42,-1.02
191312,0.54,-1.50
191401,2.32,0.54
191402,0.77,-0.69
191403,2.20,-0.36
191404,1.38,-2.00
191405,5.14,1.41
191406,4.65,0.68
191407,1.56,-1.93
191408,3.50,0.03
191409,2.35,-1.07
191410,2.64,-0.06
191411,0.37,-2.07
191412,2.57,0.53
191501,1.82,0.04
191502,2.01,0.55
191503,0.64,-1.92
191504,0.68,-2.70
191505,6.43,2.70
191506,3.31,-0.66
191507,6.83,3.34
191508,3.98,0.51
191509,4.01,0.59
191510,0.93,-1.77
191511,1.80,-0.64
191512,1.23,-0.81
191601,4.88,3.10
191602,0.81,-0.65
191603,2.40,-0.16
191604,1.17,-2.21
191605,3.89,0.16
191606,7.18,3.21
191607,0.68,-2.81
191608,1.54,-1.93
191609,3.43,0.01
191610,4.54,1.84
191611,2.08,-0.36
191612,2.87,0.83
191701,1.58,-0.20
191702,0.47,-0.99
191703,1.82,-0.74
191704,2.29,-1.09
191705,2.79,-0.94
191706,4.95,0.98
191707,4.84,1.35
191708,1.39,-2.08
191709,2.54,-0.88
191710,3.92,1.22
191711,0.29,-2.15
191712,0.90,-1.14
191801,2.90,1.12
191802,2.30,0.84
191803,1.58,-0.98
191804,3.28,-0.10
191805,4.63,0.90
191806,2.20,-1.77
191807,3.20,-0.29
191808,2.25,-1.22
191809,2.23,-1.19
191810,3.90,1.20
191811,2.13,-0.31
191812,3.24,1.20
191901,0.22,-1.56
191902,2.08,0.62
191903,3.57,1.01
191904,3.25,-0.13
191905,4.47,0.74
191906,2.51,-1.46
