Cook County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.1,-7.4
189502,14.4,-11.4
189503,32.6,-3.7
189504,49.8,2.3
189505,60.6,2.2
189506,71.8,3.5
189507,72.2,-1.1
189508,73.2,1.8
189509,68.4,4.3
189510,45.4,-7.2
189511,34.9,-4.0
189512,28.7,1.7
189601,26.5,4.0
189602,26.6,0.8
189603,31.5,-4.8
189604,54.2,6.7
189605,66.6,8.2
189606,69.1,0.8
189607,73.3,0.0
189608,72.7,1.3
189609,60.4,-3.7
189610,48.0,-4.6
189611,37.4,-1.5
189612,31.9,4.9
189701,22.0,-0.5
189702,28.4,2.6
189703,35.4,-0.9
189704,46.6,-0.9
189705,56.0,-2.4
189706,67.0,-1.3
189707,76.0,2.7
189708,69.1,-2.3
189709,69.5,5.4
189710,57.3,4.7
189711,37.3,-1.6
189712,23.5,-3.5
189801,26.9,4.4
189802,26.3,0.5
189803,40.4,4.1
189804,46.4,-1.1
189805,58.8,0.4
189806,70.8,2.5
189807,74.4,1.1
189808,71.6,0.2
189809,67.6,3.5
189810,50.5,-2.1
189811,35.0,-3.9
189812,24.0,-3.0
189901,23.4,0.9
189902,17.9,-7.9
189903,30.1,-6.2
189904,51.5,4.0
189905,60.4,2.0
189906,70.9,2.6
189907,74.0,0.7
189908,74.6,3.2
189909,63.6,-0.5
189910,56.8,4.2
189911,43.2,4.3
189912,27.4,0.4
190001,28.9,6.4
190002,19.7,-6.1
190003,29.6,-6.7
190004,49.3,1.8
190005,61.8,3.4
190006,68.0,-0.3
190007,73.2,-0.1
190008,77.0,5.6
190009,66.3,2.2
190010,59.5,6.9
190011,36.7,-2.2
190012,30.2,3.2
190101,24.4,1.9
190102,15.0,-10.8
190103,33.9,-2.4
190104,46.8,-0.7
190105,57.4,-1.0
190106,71.2,2.9
190107,79.4,6.1
190108,72.1,0.7
190109,63.7,-0.4
190110,53.6,1.0
190111,35.4,-3.5
190112,23.2,-3.8
190201,23.8,1.3
190202,18.4,-7.4
190203,39.6,3.3
190204,46.2,-1.3
190205,61.2,2.8
190206,65.3,-3.0
190207,73.1,-0.2
190208,67.9,-3.5
190209,60.1,-4.0
190210,53.3,0.7
190211,45.3,6.4
190212,24.9,-2.1
190301,22.8,0.3
190302,23.2,-2.6
190303,41.2,4.9
190304,48.4,0.9
190305,61.2,2.8
190306,63.1,-5.2
190307,72.2,-1.1
190308,68.3,-3.1
190309,62.7,-1.4
190310,51.5,-1.1
190311,35.1,-3.8
190312,18.6,-8.4
190401,15.3,-7.2
190402,16.0,-9.8
190403,34.7,-1.6
190404,41.9,-5.6
190405,58.2,-0.2
190406,67.0,-1.3
190407,71.2,-2.1
190408,67.4,-4.0
190409,63.7,-0.4
190410,52.2,-0.4
190411,40.3,1.4
190412,24.7,-2.3
190501,17.3,-5.2
190502,15.5,-10.3
190503,39.9,3.6
190504,47.0,-0.5
190505,58.0,-0.4
190506,67.9,-0.4
190507,71.0,-2.3
190508,72.0,0.6
190509,65.6,1.5
190510,51.3,-1.3
190511,37.9,-1.0
190512,29.1,2.1
190601,29.9,7.4
190602,25.9,0.1
190603,28.7,-7.6
190604,50.0,2.5
190605,59.2,0.8
190606,67.5,-0.8
190607,71.6,-1.7
190608,74.3,2.9
190609,67.5,3.4
190610,51.4,-1.2
190611,37.8,-1.1
190612,30.0,3.0
190701,25.3,2.8
190702,24.8,-1.0
190703,42.6,6.3
190704,39.6,-7.9
190705,51.7,-6.7
190706,65.7,-2.6
