Cook County, Illinois, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,24.5,-5.5
189502,23.9,-9.6
189503,42.7,-2.0
189504,60.3,2.8
189505,71.4,2.2
189506,83.6,4.4
189507,83.7,-0.2
189508,85.3,3.7
189509,78.9,4.4
189510,55.4,-7.3
189511,41.5,-5.3
189512,35.3,1.3
189601,32.2,2.2
189602,34.5,1.0
189603,39.3,-5.4
189604,63.9,6.4
189605,78.0,8.8
189606,80.0,0.8
189607,83.8,-0.1
189608,82.9,1.3
189609,69.6,-4.9
189610,58.3,-4.4
189611,45.5,-1.3
189612,38.2,4.2
189701,28.4,-1.6
189702,34.1,0.6
189703,43.2,-1.5
189704,55.2,-2.3
189705,68.1,-1.1
189706,78.3,-0.9
189707,86.4,2.5
189708,80.1,-1.5
189709,83.3,8.8
189710,69.7,7.0
189711,45.1,-1.7
189712,30.1,-3.9
189801,33.9,3.9
189802,33.0,-0.5
189803,49.5,4.8
189804,56.2,-1.3
189805,69.1,-0.1
189806,81.1,1.9
189807,86.3,2.4
189808,81.0,-0.6
189809,76.4,1.9
189810,56.7,-6.0
189811,42.8,-4.0
189812,30.9,-3.1
189901,30.6,0.6
189902,26.0,-7.5
189903,37.0,-7.7
189904,62.1,4.6
189905,70.6,1.4
189906,81.9,2.7
189907,84.4,0.5
189908,85.5,3.9
189909,73.8,-0.7
189910,66.5,3.8
189911,50.9,4.1
189912,34.3,0.3
190001,36.0,6.0
190002,28.8,-4.7
190003,36.5,-8.2
190004,59.7,2.2
190005,73.7,4.5
190006,78.4,-0.8
190007,83.8,-0.1
190008,86.7,5.1
190009,76.0,1.5
190010,70.0,7.3
190011,44.5,-2.3
190012,37.1,3.1
190101,30.9,0.9
190102,23.7,-9.8
190103,40.8,-3.9
190104,57.2,-0.3
190105,68.3,-0.9
190106,83.4,4.2
190107,92.4,8.5
190108,82.7,1.1
190109,74.8,0.3
190110,64.9,2.2
190111,44.5,-2.3
190112,29.1,-4.9
190201,31.7,1.7
190202,27.8,-5.7
190203,47.7,3.0
190204,57.7,0.2
190205,72.0,2.8
190206,74.7,-4.5
190207,82.6,-1.3
190208,77.6,-4.0
190209,69.4,-5.1
190210,62.6,-0.1
190211,52.3,5.5
190212,30.8,-3.2
190301,29.7,-0.3
190302,30.7,-2.8
190303,49.8,5.1
190304,58.4,0.9
190305,72.0,2.8
190306,73.9,-5.3
190307,82.8,-1.1
190308,77.6,-4.0
190309,73.7,-0.8
190310,61.1,-1.6
190311,43.2,-3.6
190312,27.2,-6.8
190401,22.8,-7.2
190402,24.2,-9.3
190403,41.7,-3.0
190404,51.5,-6.0
190405,69.3,0.1
190406,78.8,-0.4
190407,82.3,-1.6
190408,78.8,-2.8
190409,73.2,-1.3
190410,61.8,-0.9
190411,49.6,2.8
190412,31.7,-2.3
190501,24.6,-5.4
190502,23.8,-9.7
190503,48.3,3.6
190504,57.3,-0.2
190505,68.3,-0.9
190506,79.4,0.2
190507,81.1,-2.8
190508,81.9,0.3
190509,76.2,1.7
190510,62.2,-0.5
190511,47.1,0.3
190512,35.9,1.9
190601,37.0,7.0
190602,34.3,0.8
190603,34.6,-10.1
190604,61.3,3.8
190605,70.4,1.2
190606,78.7,-0.5
190607,83.7,-0.2
190608,84.3,2.7
190609,77.9,3.4
190610,59.8,-2.9
190611,44.3,-2.5
190612,35.7,1.7
190701,32.1,2.1
190702,33.0,-0.5
190703,51.4,6.7
190704,48.4,-9.1
190705,62.2,-7.0
