Cook County, Illinois, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,5.6,-9.4
189502,5.0,-13.1
189503,22.5,-5.3
189504,39.3,1.8
189505,49.8,2.2
189506,60.1,2.7
189507,60.6,-2.1
189508,61.1,-0.2
189509,58.0,4.2
189510,35.4,-7.1
189511,28.3,-2.7
189512,22.2,2.2
189601,20.7,5.7
189602,18.6,0.5
189603,23.7,-4.1
189604,44.5,7.0
189605,55.1,7.5
189606,58.3,0.9
189607,62.8,0.1
189608,62.6,1.3
189609,51.2,-2.6
189610,37.7,-4.8
189611,29.1,-1.9
189612,25.6,5.6
189701,15.7,0.7
189702,22.7,4.6
189703,27.5,-0.3
189704,38.1,0.6
189705,43.9,-3.7
189706,55.7,-1.7
189707,65.6,2.9
189708,58.1,-3.2
189709,55.6,1.8
189710,45.0,2.5
189711,29.5,-1.5
189712,16.9,-3.1
189801,19.9,4.9
189802,19.5,1.4
189803,31.4,3.6
189804,36.6,-0.9
189805,48.3,0.7
189806,60.6,3.2
189807,62.6,-0.1
189808,62.3,1.0
189809,58.7,4.9
189810,44.4,1.9
189811,27.2,-3.8
189812,17.2,-2.8
189901,16.2,1.2
189902,9.8,-8.3
189903,23.2,-4.6
189904,40.8,3.3
189905,50.3,2.7
189906,59.8,2.4
189907,63.6,0.9
189908,63.7,2.4
189909,53.4,-0.4
189910,47.1,4.6
189911,35.5,4.5
189912,20.4,0.4
190001,21.8,6.8
190002,10.6,-7.5
190003,22.8,-5.0
190004,39.0,1.5
190005,50.0,2.4
190006,57.6,0.2
190007,62.5,-0.2
190008,67.4,6.1
190009,56.7,2.9
190010,49.0,6.5
190011,28.8,-2.2
190012,23.2,3.2
190101,17.8,2.8
190102,6.2,-11.9
190103,27.0,-0.8
190104,36.4,-1.1
190105,46.5,-1.1
190106,59.0,1.6
190107,66.4,3.7
190108,61.4,0.1
190109,52.6,-1.2
190110,42.4,-0.1
190111,26.3,-4.7
190112,17.4,-2.6
190201,15.9,0.9
190202,8.9,-9.2
190203,31.5,3.7
190204,34.8,-2.7
190205,50.4,2.8
190206,55.9,-1.5
190207,63.7,1.0
190208,58.2,-3.1
190209,50.8,-3.0
190210,44.1,1.6
190211,38.2,7.2
190212,19.2,-0.8
190301,16.0,1.0
190302,15.6,-2.5
190303,32.7,4.9
190304,38.4,0.9
190305,50.3,2.7
190306,52.2,-5.2
190307,61.7,-1.0
190308,59.1,-2.2
190309,51.6,-2.2
190310,41.8,-0.7
190311,27.0,-4.0
190312,10.0,-10.0
190401,7.9,-7.1
190402,7.8,-10.3
190403,27.8,0.0
190404,32.3,-5.2
190405,47.2,-0.4
190406,55.2,-2.2
190407,60.1,-2.6
190408,56.0,-5.3
190409,54.1,0.3
190410,42.6,0.1
190411,31.0,0.0
190412,17.7,-2.3
190501,10.0,-5.0
190502,7.3,-10.8
190503,31.5,3.7
190504,36.7,-0.8
190505,47.6,0.0
190506,56.4,-1.0
190507,60.8,-1.9
190508,62.2,0.9
190509,54.9,1.1
190510,40.4,-2.1
190511,28.6,-2.4
190512,22.3,2.3
190601,22.9,7.9
190602,17.5,-0.6
190603,22.8,-5.0
190604,38.7,1.2
190605,47.9,0.3
190606,56.3,-1.1
190607,59.4,-3.3
190608,64.3,3.0
190609,57.0,3.2
190610,43.0,0.5
190611,31.4,0.4
190612,24.2,4.2
190701,18.5,3.5
190702,16.8,-1.3
190703,33.7,5.9
190704,30.8,-6.7
190705,41.2,-6.4
190706,55.7,-1.7
