Wayne County, Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.65,0.82
189502,0.98,-0.69
189503,1.30,-0.96
189504,1.45,-1.48
189505,2.87,-0.25
189506,1.56,-1.77
189507,1.92,-1.06
189508,2.77,-0.18
189509,1.47,-1.42
189510,0.74,-1.60
189511,3.46,1.20
189512,5.26,3.17
189601,1.48,-0.35
189602,1.07,-0.60
189603,1.93,-0.33
189604,3.40,0.47
189605,2.95,-0.17
189606,3.40,0.07
189607,7.01,4.03
189608,3.87,0.92
189609,4.61,1.72
189610,1.42,-0.92
189611,1.77,-0.49
189612,1.15,-0.94
189701,2.34,0.51
189702,1.23,-0.44
189703,3.18,0.92
189704,2.40,-0.53
189705,4.00,0.88
189706,3.00,-0.33
189707,3.04,0.06
189708,2.70,-0.25
189709,0.97,-1.92
189710,1.20,-1.14
189711,4.45,2.19
189712,2.01,-0.08
189801,2.93,1.10
189802,2.11,0.44
189803,3.62,1.36
189804,1.53,-1.40
189805,2.00,-1.12
189806,3.85,0.52
189807,2.67,-0.31
189808,0.95,-2.00
189809,3.09,0.20
189810,4.08,1.74
189811,3.10,0.84
189812,2.11,0.02
189901,1.49,-0.34
189902,1.54,-0.13
189903,3.49,1.23
189904,0.47,-2.46
189905,3.82,0.70
189906,2.71,-0.62
189907,2.83,-0.15
189908,0.60,-2.35
189909,2.31,-0.58
189910,2.67,0.33
189911,2.15,-0.11
189912,2.03,-0.06
190001,0.90,-0.93
190002,3.26,1.59
190003,2.30,0.04
190004,1.45,-1.48
190005,3.73,0.61
190006,3.16,-0.17
190007,3.81,0.83
190008,1.97,-0.98
190009,1.46,-1.43
190010,2.43,0.09
190011,3.24,0.98
190012,0.41,-1.68
190101,1.49,-0.34
190102,1.63,-0.04
190103,2.07,-0.19
190104,1.66,-1.27
190105,2.47,-0.65
190106,2.07,-1.26
190107,4.03,1.05
190108,2.87,-0.08
190109,1.57,-1.32
190110,2.06,-0.28
190111,1.07,-1.19
190112,2.92,0.83
190201,0.46,-1.37
190202,0.70,-0.97
190203,1.89,-0.37
190204,0.79,-2.14
190205,3.88,0.76
190206,7.14,3.81
190207,7.43,4.45
190208,0.75,-2.20
190209,5.75,2.86
190210,1.78,-0.56
190211,1.53,-0.73
190212,2.19,0.10
190301,1.23,-0.60
190302,2.73,1.06
190303,1.15,-1.11
190304,4.12,1.19
190305,1.99,-1.13
190306,5.35,2.02
190307,4.18,1.20
190308,3.90,0.95
190309,2.31,-0.58
190310,1.61,-0.73
190311,1.31,-0.95
190312,2.03,-0.06
190401,2.55,0.72
190402,2.01,0.34
190403,3.95,1.69
190404,1.75,-1.18
190405,2.86,-0.26
190406,1.04,-2.29
190407,2.55,-0.43
190408,2.89,-0.06
190409,3.63,0.74
190410,1.17,-1.17
190411,0.13,-2.13
190412,1.40,-0.69
190501,1.41,-0.42
190502,1.15,-0.52
190503,1.10,-1.16
190504,2.24,-0.69
190505,4.49,1.37
190506,4.97,1.64
190507,3.77,0.79
190508,3.51,0.56
190509,2.71,-0.18
190510,1.94,-0.40
190511,2.43,0.17
190512,1.31,-0.78
190601,1.32,-0.51
190602,0.81,-0.86
190603,2.15,-0.11
190604,1.74,-1.19
190605,3.29,0.17
190606,2.91,-0.42
190607,4.11,1.13
190608,2.82,-0.13
190609,1.37,-1.52
190610,3.62,1.28
190611,1.95,-0.31
190612,2.52,0.43
190701,3.28,1.45
190702,0.51,-1.16
190703,2.06,-0.20
190704,2.28,-0.65
190705,2.95,-0.17
190706,3.40,0.07
190707,3.11,0.13
190708,0.89,-2.06
190709,4.14,1.25
190710,1.99,-0.35
190711,1.87,-0.39
190712,3.23,1.14
190801,1.39,-0.44
190802,4.07,2.40
190803,2.45,0.19
190804,2.36,-0.57
190805,4.72,1.60
190806,2.52,-0.81
190807,2.27,-0.71
190808,4.59,1.64
190809,0.41,-2.48
190810,1.55,-0.79
190811,1.23,-1.03
190812,1.57,-0.52
190901,2.37,0.54
190902,3.06,1.39
190903,1.38,-0.88
190904,4.48,1.55
190905,3.13,0.01
190906,3.39,0.06
190907,4.10,1.12
190908,2.07,-0.88
190909,0.97,-1.92
190910,1.43,-0.91
190911,4.02,1.76
190912,2.39,0.30
191001,2.36,0.53
191002,1.55,-0.12
191003,0.32,-1.94
191004,4.05,1.12
191005,3.60,0.48
191006,1.59,-1.74
191007,2.17,-0.81
191008,1.44,-1.51
191009,2.76,-0.13
191010,1.67,-0.67
191011,2.01,-0.25
191012,2.06,-0.03
191101,1.52,-0.31
191102,1.83,0.16
191103,1.15,-1.11
191104,3.30,0.37
191105,1.77,-1.35
191106,2.89,-0.44
191107,1.52,-1.46
191108,2.13,-0.82
191109,4.46,1.57
191110,4.57,2.23
191111,3.20,0.94
191112,1.66,-0.43
191201,1.63,-0.20
191202,1.11,-0.56
191203,1.74,-0.52
191204,2.76,-0.17
191205,3.45,0.33
191206,1.68,-1.65
191207,4.36,1.38
191208,3.55,0.60
191209,3.06,0.17
191210,2.78,0.44
191211,1.85,-0.41
191212,1.08,-1.01
191301,3.17,1.34
191302,1.07,-0.60
191303,4.38,2.12
191304,2.78,-0.15
191305,4.35,1.23
191306,1.10,-2.23
191307,2.74,-0.24
191308,2.00,-0.95
191309,1.18,-1.71
191310,3.94,1.60
191311,1.77,-0.49
191312,0.75,-1.34
191401,1.92,0.09
191402,0.81,-0.86
191403,1.66,-0.60
191404,2.99,0.06
191405,5.12,2.00
191406,3.51,0.18
191407,2.22,-0.76
191408,3.87,0.92
191409,2.93,0.04
191410,2.19,-0.15
191411,1.38,-0.88
191412,1.62,-0.47
191501,1.14,-0.69
191502,1.71,0.04
191503,0.72,-1.54
191504,0.78,-2.15
191505,3.70,0.58
191506,3.55,0.22
191507,5.54,2.56
191508,3.99,1.04
191509,4.85,1.96
191510,0.80,-1.54
191511,2.05,-0.21
191512,1.48,-0.61
191601,3.11,1.28
191602,0.67,-1.00
191603,3.13,0.87
191604,1.99,-0.94
191605,5.24,2.12
191606,3.99,0.66
191607,1.15,-1.83
191608,2.01,-0.94
191609,2.41,-0.48
191610,2.03,-0.31
191611,1.69,-0.57
191612,2.41,0.32
191701,1.44,-0.39
191702,0.64,-1.03
191703,2.52,0.26
191704,4.06,1.13
191705,3.85,0.73
191706,5.53,2.20
191707,3.21,0.23
191708,2.17,-0.78
191709,2.36,-0.53
191710,4.51,2.17
191711,0.55,-1.71
191712,0.59,-1.50
191801,1.29,-0.54
191802,3.17,1.50
191803,2.65,0.39
191804,2.48,-0.45
191805,2.45,-0.67
191806,2.12,-1.21
191807,1.69,-1.29
191808,1.58,-1.37
191809,3.56,0.67
191810,2.20,-0.14
191811,2.33,0.07
191812,3.51,1.42
191901,0.80,-1.03
191902,1.65,-0.02
191903,2.82,0.56
191904,4.84,1.91
191905,3.55,0.43
