Wayne County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,18.7,-4.8
189502,16.6,-8.1
189503,28.4,-6.1
189504,48.0,1.7
189505,59.3,1.7
189506,71.0,3.6
189507,71.1,-1.1
189508,71.4,1.2
189509,65.9,2.9
189510,45.0,-6.3
189511,36.6,-2.4
189512,28.4,0.5
189601,24.8,1.3
189602,25.2,0.5
189603,28.8,-5.7
189604,52.8,6.5
189605,65.8,8.2
189606,68.5,1.1
189607,71.6,-0.6
189608,69.2,-1.0
189609,57.9,-5.1
189610,45.1,-6.2
189611,39.2,0.2
189612,27.6,-0.3
189701,20.5,-3.0
189702,26.1,1.4
189703,33.3,-1.2
189704,44.2,-2.1
189705,54.3,-3.3
189706,64.1,-3.3
189707,74.1,1.9
189708,66.3,-3.9
189709,64.2,1.2
189710,53.5,2.2
189711,36.4,-2.6
189712,25.4,-2.5
189801,25.5,2.0
189802,23.9,-0.8
189803,37.8,3.3
189804,43.8,-2.5
189805,58.1,0.5
189806,69.3,1.9
189807,73.3,1.1
189808,71.3,1.1
189809,64.8,1.8
189810,50.5,-0.8
189811,33.8,-5.2
189812,24.3,-3.6
189901,21.8,-1.7
189902,17.2,-7.5
189903,28.0,-6.5
189904,49.1,2.8
189905,59.4,1.8
189906,68.9,1.5
189907,70.6,-1.6
189908,71.1,0.9
189909,59.1,-3.9
189910,53.2,1.9
189911,39.8,0.8
189912,26.8,-1.1
190001,26.0,2.5
190002,19.0,-5.7
190003,24.4,-10.1
190004,46.8,0.5
190005,58.8,1.2
190006,66.2,-1.2
190007,71.1,-1.1
190008,74.2,4.0
190009,65.8,2.8
190010,57.6,6.3
190011,38.1,-0.9
190012,28.7,0.8
190101,23.6,0.1
190102,14.8,-9.9
190103,31.6,-2.9
190104,45.8,-0.5
190105,56.0,-1.6
190106,67.6,0.2
190107,75.4,3.2
190108,70.5,0.3
190109,62.4,-0.6
190110,50.8,-0.5
190111,34.8,-4.2
190112,23.8,-4.1
190201,22.9,-0.6
190202,19.9,-4.8
190203,38.6,4.1
190204,45.5,-0.8
190205,57.2,-0.4
190206,63.2,-4.2
190207,71.6,-0.6
190208,65.8,-4.4
190209,60.4,-2.6
190210,50.6,-0.7
190211,44.8,5.8
190212,25.9,-2.0
190301,22.5,-1.0
190302,24.0,-0.7
190303,40.7,6.2
190304,45.5,-0.8
190305,59.2,1.6
190306,61.7,-5.7
190307,70.8,-1.4
190308,66.0,-4.2
190309,61.2,-1.8
190310,50.6,-0.7
190311,35.4,-3.6
190312,21.3,-6.6
190401,14.7,-8.8
190402,13.5,-11.2
190403,31.9,-2.6
190404,40.6,-5.7
190405,57.2,-0.4
190406,66.1,-1.3
190407,69.6,-2.6
190408,66.5,-3.7
190409,61.8,-1.2
190410,48.4,-2.9
190411,38.6,-0.4
190412,23.3,-4.6
190501,18.0,-5.5
190502,15.8,-8.9
190503,35.9,1.4
190504,43.9,-2.4
190505,56.5,-1.1
190506,65.9,-1.5
190507,70.6,-1.6
190508,69.7,-0.5
190509,63.7,0.7
190510,50.2,-1.1
190511,36.1,-2.9
190512,29.9,2.0
190601,31.5,8.0
190602,23.4,-1.3
190603,27.5,-7.0
190604,48.3,2.0
190605,57.0,-0.6
190606,67.0,-0.4
190607,70.5,-1.7
190608,73.2,3.0
190609,66.5,3.5
190610,49.2,-2.1
190611,37.6,-1.4
190612,27.3,-0.6
190701,24.6,1.1
190702,19.4,-5.3
190703,37.2,2.7
190704,38.1,-8.2
