Wayne County, Michigan, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.3,-4.4
189502,24.4,-8.1
189503,37.5,-5.8
189504,58.3,1.6
189505,71.2,2.3
189506,83.9,5.4
189507,83.9,0.6
189508,83.6,2.7
189509,77.4,3.7
189510,55.3,-6.1
189511,46.1,-0.6
189512,36.2,1.7
189601,30.7,0.0
189602,32.0,-0.5
189603,36.5,-6.8
189604,63.5,6.8
189605,77.1,8.2
189606,79.6,1.1
189607,82.1,-1.2
189608,79.0,-1.9
189609,67.1,-6.6
189610,54.2,-7.2
189611,47.0,0.3
189612,33.9,-0.6
189701,27.6,-3.1
189702,31.1,-1.4
189703,41.5,-1.8
189704,53.6,-3.1
189705,64.4,-4.5
189706,75.1,-3.4
189707,84.7,1.4
189708,77.4,-3.5
189709,77.5,3.8
189710,65.1,3.7
189711,44.4,-2.3
189712,32.3,-2.2
189801,32.0,1.3
189802,31.1,-1.4
189803,47.3,4.0
189804,53.7,-3.0
189805,68.6,-0.3
189806,82.0,3.5
189807,86.8,3.5
189808,82.5,1.6
189809,76.1,2.4
189810,58.7,-2.7
189811,41.3,-5.4
189812,30.0,-4.5
189901,29.0,-1.7
189902,24.9,-7.6
189903,34.6,-8.7
189904,59.4,2.7
189905,69.9,1.0
189906,80.8,2.3
189907,82.5,-0.8
189908,84.9,4.0
189909,70.2,-3.5
189910,64.3,2.9
189911,46.9,0.2
189912,33.8,-0.7
190001,33.2,2.5
190002,27.3,-5.2
190003,33.0,-10.3
190004,57.3,0.6
190005,70.2,1.3
190006,77.0,-1.5
190007,82.3,-1.0
190008,85.2,4.3
190009,77.4,3.7
190010,68.5,7.1
190011,45.3,-1.4
190012,35.4,0.9
190101,31.4,0.7
190102,22.8,-9.7
190103,40.1,-3.2
190104,55.4,-1.3
190105,66.8,-2.1
190106,78.8,0.3
190107,86.8,3.5
190108,81.0,0.1
190109,72.9,-0.8
190110,62.2,0.8
190111,42.1,-4.6
190112,30.9,-3.6
190201,30.2,-0.5
190202,28.2,-4.3
190203,47.7,4.4
190204,55.5,-1.2
190205,68.5,-0.4
190206,73.5,-5.0
190207,81.7,-1.6
190208,77.1,-3.8
190209,70.4,-3.3
190210,60.2,-1.2
190211,52.9,6.2
190212,32.4,-2.1
190301,30.3,-0.4
190302,31.8,-0.7
190303,49.6,6.3
190304,55.4,-1.3
190305,71.8,2.9
190306,71.3,-7.2
190307,81.4,-1.9
190308,75.4,-5.5
190309,72.5,-1.2
190310,60.7,-0.7
190311,44.4,-2.3
190312,28.8,-5.7
190401,22.7,-8.0
190402,22.0,-10.5
190403,39.3,-4.0
190404,49.5,-7.2
190405,67.7,-1.2
190406,76.8,-1.7
190407,80.4,-2.9
190408,78.0,-2.9
190409,71.9,-1.8
190410,57.9,-3.5
190411,47.7,1.0
190412,30.9,-3.6
190501,26.4,-4.3
190502,24.4,-8.1
190503,45.3,2.0
190504,53.9,-2.8
190505,67.3,-1.6
190506,76.2,-2.3
190507,80.6,-2.7
190508,80.1,-0.8
190509,73.9,0.2
190510,60.2,-1.2
190511,44.9,-1.8
190512,36.1,1.6
190601,38.2,7.5
190602,32.8,0.3
190603,34.7,-8.6
190604,60.0,3.3
190605,68.1,-0.8
190606,77.2,-1.3
190607,81.7,-1.6
190608,83.6,2.7
190609,78.3,4.6
190610,58.1,-3.3
190611,45.3,-1.4
190612,34.0,-0.5
190701,32.2,1.5
190702,28.5,-4.0
190703,46.2,2.9
190704,47.4,-9.3
