Wayne County, Michigan, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,11.1,-5.3
189502,8.9,-8.0
189503,19.2,-6.6
189504,37.6,1.7
189505,47.4,1.0
189506,58.2,1.9
189507,58.2,-2.9
189508,59.1,-0.3
189509,54.4,2.2
189510,34.6,-6.7
189511,27.2,-4.0
189512,20.7,-0.7
189601,18.8,2.4
189602,18.5,1.6
189603,21.1,-4.7
189604,42.1,6.2
189605,54.4,8.0
189606,57.4,1.1
189607,61.0,-0.1
189608,59.3,-0.1
189609,48.8,-3.4
189610,36.0,-5.3
189611,31.4,0.2
189612,21.3,-0.1
189701,13.4,-3.0
189702,21.2,4.3
189703,25.1,-0.7
189704,34.7,-1.2
189705,44.3,-2.1
189706,53.2,-3.1
189707,63.4,2.3
189708,55.2,-4.2
189709,50.9,-1.3
189710,41.9,0.6
189711,28.4,-2.8
189712,18.5,-2.9
189801,19.1,2.7
189802,16.6,-0.3
189803,28.4,2.6
189804,33.9,-2.0
189805,47.6,1.2
189806,56.6,0.3
189807,59.8,-1.3
189808,60.0,0.6
189809,53.4,1.2
189810,42.3,1.0
189811,26.3,-4.9
189812,18.6,-2.8
189901,14.7,-1.7
189902,9.4,-7.5
189903,21.4,-4.4
189904,38.8,2.9
189905,48.8,2.4
189906,56.9,0.6
189907,58.6,-2.5
189908,57.2,-2.2
189909,48.0,-4.2
189910,42.2,0.9
189911,32.7,1.5
189912,19.9,-1.5
190001,18.7,2.3
190002,10.6,-6.3
190003,15.9,-9.9
190004,36.3,0.4
190005,47.4,1.0
190006,55.4,-0.9
190007,59.9,-1.2
190008,63.1,3.7
190009,54.2,2.0
190010,46.7,5.4
190011,30.9,-0.3
190012,22.0,0.6
190101,15.8,-0.6
190102,6.9,-10.0
190103,23.2,-2.6
190104,36.2,0.3
190105,45.2,-1.2
190106,56.3,0.0
190107,63.9,2.8
190108,59.9,0.5
190109,51.8,-0.4
190110,39.4,-1.9
190111,27.6,-3.6
190112,16.6,-4.8
190201,15.5,-0.9
190202,11.6,-5.3
190203,29.5,3.7
190204,35.6,-0.3
190205,45.9,-0.5
190206,52.8,-3.5
190207,61.4,0.3
190208,54.6,-4.8
190209,50.3,-1.9
190210,41.0,-0.3
190211,36.8,5.6
190212,19.4,-2.0
190301,14.6,-1.8
190302,16.4,-0.5
190303,31.8,6.0
190304,35.5,-0.4
190305,46.5,0.1
190306,52.0,-4.3
190307,60.3,-0.8
190308,56.6,-2.8
190309,50.0,-2.2
190310,40.6,-0.7
190311,26.4,-4.8
190312,13.9,-7.5
190401,6.6,-9.8
190402,5.0,-11.9
190403,24.6,-1.2
190404,31.6,-4.3
190405,46.6,0.2
190406,55.3,-1.0
190407,58.8,-2.3
190408,54.9,-4.5
190409,51.6,-0.6
190410,38.8,-2.5
190411,29.5,-1.7
190412,15.8,-5.6
190501,9.7,-6.7
190502,7.3,-9.6
190503,26.5,0.7
190504,33.9,-2.0
190505,45.6,-0.8
190506,55.6,-0.7
190507,60.6,-0.5
190508,59.2,-0.2
190509,53.5,1.3
190510,40.1,-1.2
190511,27.3,-3.9
190512,23.7,2.3
190601,24.9,8.5
190602,14.0,-2.9
190603,20.4,-5.4
190604,36.7,0.8
190605,45.8,-0.6
190606,56.8,0.5
190607,59.3,-1.8
190608,62.7,3.3
190609,54.7,2.5
190610,40.2,-1.1
190611,30.0,-1.2
190612,20.5,-0.9
190701,16.9,0.5
190702,10.2,-6.7
190703,28.3,2.5
190704,28.8,-7.1
