Nueces County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,56.2,0.6
189502,47.7,-11.2
189503,63.7,-1.3
189504,71.2,-0.6
189505,74.9,-2.5
189506,81.3,-0.9
189507,82.6,-1.5
189508,84.8,0.4
189509,82.9,2.2
189510,69.5,-3.8
189511,58.8,-5.4
189512,56.1,-1.3
189601,55.6,0.0
189602,59.1,0.2
189603,62.5,-2.5
189604,74.0,2.2
189605,82.3,4.9
189606,86.1,3.9
189607,86.0,1.9
189608,85.8,1.4
189609,79.1,-1.6
189610,72.1,-1.2
189611,61.9,-2.3
189612,57.6,0.2
189701,52.3,-3.3
189702,62.4,3.5
189703,70.5,5.5
189704,71.6,-0.2
189705,76.8,-0.6
189706,83.9,1.7
189707,86.7,2.6
189708,84.5,0.1
189709,78.8,-1.9
189710,76.0,2.7
189711,64.6,0.4
189712,54.1,-3.3
189801,58.5,2.9
189802,61.8,2.9
189803,65.7,0.7
189804,70.5,-1.3
189805,78.7,1.3
189806,83.9,1.7
189807,84.9,0.8
189808,84.5,0.1
189809,81.6,0.9
189810,71.5,-1.8
189811,59.9,-4.3
189812,52.3,-5.1
189901,54.3,-1.3
189902,50.0,-8.9
189903,68.4,3.4
189904,71.5,-0.3
189905,82.4,5.0
189906,83.9,1.7
189907,85.4,1.3
189908,87.4,3.0
189909,80.3,-0.4
189910,76.0,2.7
189911,64.6,0.4
189912,56.8,-0.6
190001,57.6,2.0
190002,57.6,-1.3
190003,65.6,0.6
190004,70.1,-1.7
190005,76.4,-1.0
190006,84.6,2.4
190007,83.0,-1.1
190008,85.2,0.8
190009,83.5,2.8
190010,76.6,3.3
190011,66.4,2.2
190012,56.9,-0.5
190101,58.0,2.4
190102,56.9,-2.0
190103,66.3,1.3
190104,70.6,-1.2
190105,77.4,0.0
190106,84.2,2.0
190107,84.8,0.7
190108,86.0,1.6
190109,80.5,-0.2
190110,75.6,2.3
190111,63.7,-0.5
190112,55.3,-2.1
190201,55.6,0.0
190202,56.0,-2.9
190203,67.4,2.4
190204,74.6,2.8
190205,80.4,3.0
190206,84.7,2.5
190207,84.9,0.8
190208,87.3,2.9
190209,83.1,2.4
190210,74.4,1.1
190211,69.9,5.7
190212,58.2,0.8
190301,54.0,-1.6
190302,55.5,-3.4
190303,63.7,-1.3
190304,70.2,-1.6
190305,75.9,-1.5
190306,78.7,-3.5
190307,83.4,-0.7
190308,83.3,-1.1
190309,80.2,-0.5
190310,71.8,-1.5
190311,64.3,0.1
190312,56.8,-0.6
190401,54.4,-1.2
190402,63.4,4.5
190403,71.6,6.6
190404,72.2,0.4
190405,75.8,-1.6
190406,81.4,-0.8
190407,81.3,-2.8
190408,82.5,-1.9
190409,81.6,0.9
190410,73.7,0.4
190411,62.7,-1.5
190412,57.3,-0.1
190501,54.3,-1.3
190502,47.6,-11.3
190503,66.5,1.5
190504,71.4,-0.4
190505,79.4,2.0
190506,81.8,-0.4
190507,83.0,-1.1
190508,86.2,1.8
190509,82.8,2.1
190510,73.3,0.0
190511,66.4,2.2
190512,51.6,-5.8
190601,55.3,-0.3
190602,55.1,-3.8
190603,62.1,-2.9
190604,73.3,1.5
190605,78.2,0.8
190606,84.9,2.7
190607,84.8,0.7
190608,83.1,-1.3
190609,82.2,1.5
190610,68.6,-4.7
190611,64.0,-0.2
190612,61.9,4.5
190701,64.7,9.1
190702,60.8,1.9
190703,72.9,7.9
190704,70.3,-1.5
190705,73.8,-3.6
190706,82.6,0.4
