Nueces County, Texas, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,68.3,2.8
189502,56.3,-12.8
189503,73.2,-1.6
189504,84.3,3.2
189505,84.2,-1.8
189506,90.3,-0.6
189507,91.6,-1.7
189508,96.1,2.1
189509,93.5,3.5
189510,80.9,-2.6
189511,68.2,-6.0
189512,68.4,1.2
189601,64.2,-1.3
189602,70.4,1.3
189603,73.8,-1.0
189604,81.9,0.8
189605,92.4,6.4
189606,99.1,8.2
189607,97.0,3.7
189608,97.9,3.9
189609,87.9,-2.1
189610,81.1,-2.4
189611,68.3,-5.9
189612,69.5,2.3
189701,62.2,-3.3
189702,72.7,3.6
189703,79.9,5.1
189704,82.6,1.5
189705,87.0,1.0
189706,94.2,3.3
189707,98.9,5.6
189708,94.6,0.6
189709,89.4,-0.6
189710,86.8,3.3
189711,76.0,1.8
189712,64.8,-2.4
189801,68.8,3.3
189802,72.8,3.7
189803,74.8,0.0
189804,80.6,-0.5
189805,88.1,2.1
189806,93.9,3.0
189807,96.2,2.9
189808,95.4,1.4
189809,91.7,1.7
189810,84.2,0.7
189811,70.1,-4.1
189812,63.2,-4.0
189901,65.3,-0.2
189902,62.8,-6.3
189903,80.1,5.3
189904,81.8,0.7
189905,91.3,5.3
189906,94.2,3.3
189907,95.9,2.6
189908,99.5,5.5
189909,91.8,1.8
189910,86.4,2.9
189911,75.4,1.2
189912,67.4,0.2
190001,66.6,1.1
190002,67.6,-1.5
190003,73.4,-1.4
190004,78.0,-3.1
190005,85.8,-0.2
190006,94.4,3.5
190007,90.4,-2.9
190008,93.5,-0.5
190009,91.6,1.6
190010,87.6,4.1
190011,76.6,2.4
190012,67.5,0.3
190101,69.6,4.1
190102,67.4,-1.7
190103,79.5,4.7
190104,81.5,0.4
190105,88.0,2.0
190106,94.8,3.9
190107,94.9,1.6
190108,96.8,2.8
190109,89.7,-0.3
190110,86.0,2.5
190111,76.9,2.7
190112,69.6,2.4
190201,66.2,0.7
190202,65.2,-3.9
190203,78.4,3.6
190204,83.3,2.2
190205,88.5,2.5
190206,94.6,3.7
190207,93.1,-0.2
190208,97.4,3.4
190209,93.3,3.3
190210,85.3,1.8
190211,78.5,4.3
190212,67.0,-0.2
190301,63.2,-2.3
190302,62.7,-6.4
190303,72.3,-2.5
190304,78.8,-2.3
190305,84.3,-1.7
190306,87.2,-3.7
190307,91.9,-1.4
190308,91.5,-2.5
190309,91.2,1.2
190310,82.8,-0.7
190311,76.2,2.0
190312,69.3,2.1
190401,68.4,2.9
190402,76.7,7.6
190403,82.9,8.1
190404,83.1,2.0
190405,84.9,-1.1
190406,89.4,-1.5
190407,89.2,-4.1
190408,92.2,-1.8
190409,89.4,-0.6
190410,83.8,0.3
190411,73.8,-0.4
190412,69.6,2.4
190501,65.1,-0.4
190502,58.2,-10.9
190503,75.4,0.6
190504,80.3,-0.8
190505,86.5,0.5
190506,90.1,-0.8
190507,92.9,-0.4
190508,96.4,2.4
190509,92.1,2.1
190510,82.8,-0.7
190511,74.5,0.3
190512,61.6,-5.6
190601,69.1,3.6
190602,65.0,-4.1
190603,72.4,-2.4
190604,81.6,0.5
190605,86.7,0.7
190606,94.9,4.0
190607,93.9,0.6
190608,91.6,-2.4
190609,91.1,1.1
190610,79.9,-3.6
190611,75.0,0.8
190612,72.4,5.2
190701,74.8,9.3
190702,74.1,5.0
190703,83.0,8.2
190704,80.4,-0.7
190705,81.3,-4.7
190706,92.4,1.5
190707,92.2,-1.1
