Nueces County, Texas, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,44.1,-1.6
189502,39.0,-9.7
189503,54.2,-1.1
189504,58.2,-4.2
189505,65.6,-3.2
189506,72.2,-1.3
189507,73.6,-1.3
189508,73.6,-1.1
189509,72.4,1.0
189510,58.1,-5.1
189511,49.4,-4.9
189512,43.8,-3.8
189601,47.2,1.5
189602,47.7,-1.0
189603,51.2,-4.1
189604,66.1,3.7
189605,72.2,3.4
189606,73.0,-0.5
189607,74.9,0.0
189608,73.7,-1.0
189609,70.3,-1.1
189610,63.0,-0.2
189611,55.4,1.1
189612,45.8,-1.8
189701,42.4,-3.3
189702,52.0,3.3
189703,61.0,5.7
189704,60.7,-1.7
189705,66.7,-2.1
189706,73.5,0.0
189707,74.5,-0.4
189708,74.5,-0.2
189709,68.1,-3.3
189710,65.2,2.0
189711,53.3,-1.0
189712,43.4,-4.2
189801,48.1,2.4
189802,50.8,2.1
189803,56.5,1.2
189804,60.4,-2.0
189805,69.3,0.5
189806,73.8,0.3
189807,73.6,-1.3
189808,73.5,-1.2
189809,71.4,0.0
189810,58.7,-4.5
189811,49.6,-4.7
189812,41.4,-6.2
189901,43.2,-2.5
189902,37.3,-11.4
189903,56.7,1.4
189904,61.1,-1.3
189905,73.5,4.7
189906,73.5,0.0
189907,74.9,0.0
189908,75.2,0.5
189909,68.8,-2.6
189910,65.6,2.4
189911,53.9,-0.4
189912,46.1,-1.5
190001,48.7,3.0
190002,47.6,-1.1
190003,57.9,2.6
190004,62.1,-0.3
190005,67.0,-1.8
190006,74.8,1.3
190007,75.5,0.6
190008,76.8,2.1
190009,75.3,3.9
190010,65.7,2.5
190011,56.1,1.8
190012,46.3,-1.3
190101,46.5,0.8
190102,46.3,-2.4
190103,53.0,-2.3
190104,59.7,-2.7
190105,66.8,-2.0
190106,73.6,0.1
190107,74.7,-0.2
190108,75.2,0.5
190109,71.2,-0.2
190110,65.3,2.1
190111,50.5,-3.8
190112,41.0,-6.6
190201,45.0,-0.7
190202,46.6,-2.1
190203,56.4,1.1
190204,65.8,3.4
190205,72.3,3.5
190206,74.8,1.3
190207,76.7,1.8
190208,77.2,2.5
190209,72.9,1.5
190210,63.5,0.3
190211,61.3,7.0
190212,49.5,1.9
190301,44.8,-0.9
190302,48.3,-0.4
190303,55.2,-0.1
190304,61.6,-0.8
190305,67.4,-1.4
190306,70.2,-3.3
190307,75.0,0.1
190308,75.1,0.4
190309,69.2,-2.2
190310,60.8,-2.4
190311,52.3,-2.0
190312,44.3,-3.3
190401,40.3,-5.4
190402,50.1,1.4
190403,60.2,4.9
190404,61.2,-1.2
190405,66.7,-2.1
190406,73.4,-0.1
190407,73.4,-1.5
190408,72.9,-1.8
190409,73.9,2.5
190410,63.5,0.3
190411,51.7,-2.6
190412,45.0,-2.6
190501,43.6,-2.1
190502,36.9,-11.8
190503,57.6,2.3
190504,62.5,0.1
190505,72.3,3.5
190506,73.4,-0.1
190507,73.1,-1.8
190508,76.0,1.3
190509,73.5,2.1
190510,63.9,0.7
190511,58.4,4.1
190512,41.6,-6.0
190601,41.4,-4.3
190602,45.3,-3.4
190603,51.8,-3.5
190604,65.0,2.6
190605,69.8,1.0
190606,74.9,1.4
190607,75.7,0.8
190608,74.5,-0.2
190609,73.2,1.8
190610,57.2,-6.0
190611,53.0,-1.3
190612,51.4,3.8
190701,54.7,9.0
190702,47.4,-1.3
190703,62.8,7.5
190704,60.2,-2.2
190705,66.3,-2.5
